Key,Type,Severity,File,Line,Message,Effort,Debt,Rule,Tags
6d07eef1-6a8b-450a-a024-b5a53fc61c05,CODE_SMELL,CRITICAL,Saunter:examples/StreetlightsAPI/API.cs,84,Make the enclosing instance method 'static' or remove this set on the 'static' field.,20min,20min,csharpsquid:S2696,multi-threading
15949b5c-1c36-4b04-bf9c-9f0ea5a7f1b6,CODE_SMELL,INFO,Saunter:src/Saunter/Options/Filters/ChannelFilterContext.cs,4,Declare types in namespaces,0min,0min,external_roslyn:CA1050,
a7c19c5d-bf79-4624-b691-ee604cf8aa41,CODE_SMELL,INFO,Saunter:src/Saunter/Options/Filters/DocumentFilterContext.cs,4,Declare types in namespaces,0min,0min,external_roslyn:CA1050,
79456003-5378-422f-8347-e7928f8e496c,CODE_SMELL,INFO,Saunter:src/Saunter/Options/Filters/IChannelFilter.cs,3,Declare types in namespaces,0min,0min,external_roslyn:CA1050,
5a449d8c-5e9d-4423-b63c-ad5c58757557,CODE_SMELL,INFO,Saunter:src/Saunter/Options/Filters/IOperationFilter.cs,4,Declare types in namespaces,0min,0min,external_roslyn:CA1050,
5b89c0d8-9168-40bd-8561-9e61c5e7b392,CODE_SMELL,MAJOR,Saunter:test/Saunter.IntegrationTests.ReverseProxy/Dockerfile,14,"Surround this variable with double quotes; otherwise, it can lead to unexpected behavior.",5min,5min,docker:S6570,
c381e5b2-6ea7-4ab5-8a6b-07f6ee61ff0c,CODE_SMELL,MINOR,Saunter:test/Saunter.IntegrationTests.ReverseProxy/Dockerfile,18,Split this RUN instruction line into multiple lines.,2min,2min,docker:S7020,
e421a683-113e-43ec-b81e-40b2061d7925,CODE_SMELL,MAJOR,Saunter:test/Saunter.IntegrationTests.ReverseProxy/Dockerfile,18,"Surround this variable with double quotes; otherwise, it can lead to unexpected behavior.",5min,5min,docker:S6570,
ae553e59-6238-4f7f-82f0-ae53a80930d7,CODE_SMELL,INFO,Saunter:test/Saunter.Tests/AttributeProvider/DocumentGenerationTests/ClassAttributesTests.cs,211,Member 'SubscribeTenantCreatedEvent' does not access instance data and can be marked as static,0min,0min,external_roslyn:CA1822,
3cf1ca28-184b-4d7b-85a8-8293df39947d,CODE_SMELL,INFO,Saunter:test/Saunter.Tests/AttributeProvider/DocumentGenerationTests/ClassAttributesTests.cs,214,Member 'SubscribeTenantUpdatedEvent' does not access instance data and can be marked as static,0min,0min,external_roslyn:CA1822,
e57bead8-ea7c-4950-b7c3-020180dc0b10,CODE_SMELL,INFO,Saunter:test/Saunter.Tests/AttributeProvider/DocumentGenerationTests/ClassAttributesTests.cs,217,Member 'SubscribeTenantRemovedEvent' does not access instance data and can be marked as static,0min,0min,external_roslyn:CA1822,
5190d359-a5e3-4fc5-9863-b7e5a48b0e70,CODE_SMELL,INFO,Saunter:test/Saunter.Tests/AttributeProvider/DocumentGenerationTests/ClassAttributesTests.cs,241,Member 'PublishTenantCreatedEvent' does not access instance data and can be marked as static,0min,0min,external_roslyn:CA1822,
f50e039a-318d-44f5-ac07-234b44606666,CODE_SMELL,INFO,Saunter:test/Saunter.Tests/AttributeProvider/DocumentGenerationTests/ClassAttributesTests.cs,244,Member 'PublishTenantUpdatedEvent' does not access instance data and can be marked as static,0min,0min,external_roslyn:CA1822,
bf58ec81-4e77-4de4-9c7a-d1a8c37922ce,CODE_SMELL,INFO,Saunter:test/Saunter.Tests/AttributeProvider/DocumentGenerationTests/ClassAttributesTests.cs,247,Member 'PublishTenantRemovedEvent' does not access instance data and can be marked as static,0min,0min,external_roslyn:CA1822,
f0f90b4e-9020-4748-8ee0-1fc15303f126,CODE_SMELL,INFO,Saunter:test/Saunter.Tests/AttributeProvider/DocumentGenerationTests/ClassAttributesTests.cs,273,Member 'PublishTenantEvent' does not access instance data and can be marked as static,0min,0min,external_roslyn:CA1822,
16e893c8-aa87-44e1-bd22-7f31efbc8dc1,CODE_SMELL,INFO,Saunter:test/Saunter.Tests/AttributeProvider/DocumentGenerationTests/ClassAttributesTests.cs,297,Member 'PublishTenantCreated' does not access instance data and can be marked as static,0min,0min,external_roslyn:CA1822,
6f4faf4c-d1d7-4926-b2a1-1b2b799b2ab4,CODE_SMELL,INFO,Saunter:test/Saunter.Tests/AttributeProvider/DocumentGenerationTests/ClassAttributesTests.cs,319,Member 'SubscribeTenantCreatedEvent' does not access instance data and can be marked as static,0min,0min,external_roslyn:CA1822,
47832711-0731-4cb1-930a-725cb4bfb539,CODE_SMELL,INFO,Saunter:test/Saunter.Tests/AttributeProvider/DocumentGenerationTests/ClassAttributesTests.cs,322,Member 'SubscribeTenantUpdatedEvent' does not access instance data and can be marked as static,0min,0min,external_roslyn:CA1822,
478a9887-ced3-430e-b927-be747c0e99d6,CODE_SMELL,INFO,Saunter:test/Saunter.Tests/AttributeProvider/DocumentGenerationTests/ClassAttributesTests.cs,325,Member 'SubscribeTenantRemovedEvent' does not access instance data and can be marked as static,0min,0min,external_roslyn:CA1822,
d38f9fa8-412c-4e73-bf82-dee68b4725e8,CODE_SMELL,CRITICAL,Saunter:test/Saunter.IntegrationTests.ReverseProxy/Program.cs,109,"Add a nested comment explaining why this method is empty, throw a 'NotSupportedException' or complete the implementation.",5min,5min,csharpsquid:S1186,suspicious
